순위,팀명,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,롯데,125,98,5,3340,1192,102,0.979,11,100,17,14.5
2,키움,125,101,4,3316,1130,99,0.978,9,95,43,31.2
3,KT,124,87,5,3298,1261,90,0.981,6,117,28,19.3
4,두산,123,102,12,3286,1173,105,0.978,9,87,39,31.0
5,LG,123,76,8,3283,1216,125,0.983,7,81,19,19.0
6,한화,122,80,4,3275,1129,84,0.982,8,84,33,28.2
7,삼성,123,78,7,3250,1178,98,0.983,10,92,23,20.0
8,SSG,121,81,8,3243,1184,115,0.982,4,91,38,29.5
9,KIA,120,103,9,3195,1201,107,0.977,7,95,33,25.8
10,NC,118,102,5,3112,1141,103,0.977,7,65,29,30.9
